unit,campus,province,region,unit_id,ambucode,ambusitecode,link,hospital_name,campus_name,lat,lon
"404001: PIT Genk, St Jan ",Ziekenhuis/Hôpital: 371 - ZIEKENHUIS OOST-LIMBURG --- Campus/Site: 3560 - SINT-JAN GENK,Limburg/Limbourg,Vlaanderen/Flandre,PLGENK01A,776,77601,,Ziekenhuis Oost-Limburg,Sint-Jan Genk,50.9570769,5.5180371
"501001: PIT Leuven, Gasthuisberg ",Ziekenhuis/Hôpital: 322 - UZ LEUVEN --- Campus/Site: 4230 - GASTHUISBERG,Vlaams Brabant/Brabant flamand,Vlaanderen/Flandre,PVLEUV01A,288,28801,,Uz Leuven,Gasthuisberg,50.8790552,4.6717377
"520001: PIT Ixelles, Iris Sud ",Ziekenhuis/Hôpital: 087 - HOPITAUX IRIS SUD --- Campus/Site: 1560 - ETTERBEEK - IXELLES,,"Brussels Hoofdstedelijk Gewest
Région de Bruxelles-Capitale",PBIXEL01A,290,29001,,Hopitaux Iris Sud,Etterbeek - Ixelles,50.8349346,4.389242299999999
523001: PIT St Pierre Bruxelles,Ziekenhuis/Hôpital: 076 - CHU SAINT-PIERRE --- Campus/Site: 1520 - PORTE DE HAL,,"Brussels Hoofdstedelijk Gewest
Région de Bruxelles-Capitale",PBBRUX01A,280,28001,,Chu Saint-Pierre,Porte De Hal,50.83433890000001,4.3471366
526001: PIT UZ BRUSSEL,Ziekenhuis/Hôpital: 143 - UNIVERSITAIR ZIEKENHUIS BRUSSEL --- Campus/Site: 4200 - U.Z. BRUSSEL,,"Brussels Hoofdstedelijk Gewest
Région de Bruxelles-Capitale",PBJETT01A,270,27001,,Universitair Ziekenhuis Brussel,U.Z. Brussel,50.8878137,4.308604
600001: PIT GILLY,Ziekenhuis/Hôpital: 010 - GRAND HOPITAL DE CHARLEROI --- Campus/Site: 3170 - SAINT- JOSEPH,Henegouwen/Hainaut,Wallonië/Wallonie,PHCHAR01A,573,57301,,Grand Hopital De Charleroi,Saint- Joseph,50.4179153,4.4539194
601001: PIT MONS,Ziekenhuis/Hôpital: 254 - C.H.U. AMBROISE PARE --- Campus/Site: 2730 - AMBROISE PARE,Henegouwen/Hainaut,Wallonië/Wallonie,PHMONS01A,576,57601,,C.H.U. Ambroise Pare,Ambroise Pare,50.4575635,3.9630702
701001: PIT CHR NAMUR,Ziekenhuis/Hôpital: 006 - CHR SAMBRE ET MEUSE (SITE MEUSE) --- Campus/Site: 3300 - CHRSM - SITE MEUSE,Namen/Namur,Wallonië/Wallonie,PNNAMU01A,971,97101,,Chr Sambre Et Meuse (Site Meuse),Chrsm - Site Meuse,49.0824319,5.282399700000001
800001: PIT HERSTAL,Ziekenhuis/Hôpital: 023 - CLINIQUE ANDRE RENARD --- Campus/Site: 2860 - ANDRE RENARD,Luik/Liège,Wallonië/Wallonie,PGHERS01A,636,63601,,Clinique Andre Renard,Andre Renard,50.6747785,5.6334453
801001: PIT CITADELLE,Ziekenhuis/Hôpital: 412 - HOPITAL DE LA CITADELLE --- Campus/Site: 3410 - CITADELLE,Luik/Liège,Wallonië/Wallonie,PGLIEG01A,672,67201,,Hopital De La Citadelle,Citadelle,50.6519752,5.576939400000001
808001: PIT VERVIERS,Ziekenhuis/Hôpital: 020 - CHR VERVIERS - EAST BELGIUM --- Campus/Site: 3010 - LA TOURELLE,Luik/Liège,Wallonië/Wallonie,PGVERV01A,674,67401,,Chr Verviers - East Belgium,La Tourelle,50.5825055,5.8598157
809001: PIT MALMEDY,Ziekenhuis/Hôpital: 004 - CENTRE HOSPITALIER REINE ASTRID --- Campus/Site: 2950 - REINE ASTRID,Luik/Liège,Wallonië/Wallonie,PGMALM01A,637,63701,,Centre Hospitalier Reine Astrid,Reine Astrid,50.4261165,6.023917
902001: PIT VIRTON,Ziekenhuis/Hôpital: 246 - VIVALIA - HOPITAL ARLON ET VIRTON --- Campus/Site: 3700 - HOPITAL DE VIRTON,Luxemburg/Luxembourg,Wallonië/Wallonie,PXVIRT01A,870,87006,,Vivalia - Hopital Arlon Et Virton,Hopital De Virton,49.56726279999999,5.531372999999999
903001: PIT LIBRAMONT,Ziekenhuis/Hôpital: 168 - VIVALIA - CENTRE HOSPITALIER CENTRE ARDENNE --- Campus/Site: 3240 - HOPITAL DE LIBRAMONT,Luxemburg/Luxembourg,Wallonië/Wallonie,PXBOUI01A,870,87005,,Vivalia - Centre Hospitalier Centre Ardenne,Hopital De Libramont,49.9253759,5.380328599999999
